Page,URL,Rect,Context
1,https://www.facebook.com/share/p/1C1qack6ej/,"(449.8798522949219, 280.3155517578125, 504.2922668457031, 290.43878173828125)","ary Tv, Illary Nacional, La De s Perú, HBA Noticias, El Obj dina Noticias Puno, radio Aya"
1,https://www.facebook.com/share/p/1CV8P7bi2H/,"(509.3538818359375, 280.3155517578125, 566.9298095703125, 290.43878173828125)","acional, La Decana, La oticias, El Objetivo.pe, uno, radio Ayaviri, El"
1,https://www.elobjetivo.pe/sunass-eps-deben-darle-mantenimiento-preventivo-a-plantas-de-tratamiento-de-agua-potable/?fbclid=IwY2xjawKiomtleHRuA2FlbQIxMQBicmlkETFPMWc2b3dsR1p0MWExaHZ1AR5GkDB41gI3jSZy9dmKF5Wmmg2RpZXk1_haqRNK197rMrwo2die_qbn_qd3yA_aem_skZ2zEPBlqv9uvBXvc7G7w,"(45.58296203613281, 290.43878173828125, 90.50484466552734, 300.56201171875)","Decana, La Decan El Objetivo, radio A Portal, Agenda Info"
1,https://www.facebook.com/share/p/1HZZ7JCG5k/,"(95.56645965576172, 290.43878173828125, 167.0618438720703, 300.56201171875)","ana, La Decana noticias, radio So bjetivo, radio Aswanqhari, Juliaca al, Agenda Informativa Puno, Nu"
1,https://www.facebook.com/share/p/1GgUZbAZb2/,"(172.1234588623047, 290.43878173828125, 227.80126953125, 300.56201171875)","ticias, radio Sol de los Andes nqhari, Juliaca al Día, Enlace tiva Puno, Nueva Tv Naciona"
1,https://www.facebook.com/share/p/15K8MfzG5T/,"(232.86289978027344, 290.43878173828125, 324.604736328125, 300.56201171875)","de los Andes, noticias Sol de los And al Día, Enlace Regional Puno, Puno va Tv Nacional, El Radar Vocero, Not"
1,https://www.facebook.com/share/p/16PADxJ2j5/,"(329.6663513183594, 290.43878173828125, 399.8963317871094, 300.56201171875)","Sol de los Andes, Sur Noticias P l Puno, Puno Noticias.pe, Andina ar Vocero, Noticias del Sur Juliac"
1,https://www.facebook.com/share/p/1681SUAj36/,"(404.95794677734375, 290.43878173828125, 493.53631591796875, 300.56201171875)","Sur Noticias Perú, HBA Noticias, El O cias.pe, Andina Noticias Puno, radio A del Sur Juliaca, radio Tv Exclusiva,"
1,https://www.facebook.com/share/p/1FfTxEhPi9/,"(499.2306213378906, 290.43878173828125, 549.214111328125, 300.56201171875)","Noticias, El Objetivo.pe, Puno, radio Ayaviri, El Tv Exclusiva, El Gran"
1,https://www.facebook.com/share/p/1Bjs3UAUhy/,"(554.2756958007812, 290.43878173828125, 562.5008544921875, 300.56201171875)","Objetivo.pe, Ayaviri, El El Gran"
